category_class	count_descendants
MONDO:0957540	0
MONDO:0957539	0
MONDO:0957538	0
MONDO:0957537	0
MONDO:0957536	0
MONDO:0957535	0
MONDO:0957534	0
MONDO:0957533	0
MONDO:0957531	0
MONDO:0957524	0
MONDO:0957519	0
MONDO:0957497	0
MONDO:0957496	0
MONDO:0957495	0
MONDO:0957494	2
MONDO:0957487	0
MONDO:0957481	0
MONDO:0957477	0
MONDO:0957476	0
MONDO:0957473	0
MONDO:0957467	0
MONDO:0957466	0
MONDO:0957465	0
MONDO:0957464	0
MONDO:0957463	0
MONDO:0957462	0
MONDO:0957461	0
MONDO:0957460	0
MONDO:0957459	0
MONDO:0957458	0
MONDO:0957456	0
MONDO:0957454	0
MONDO:0957453	0
MONDO:0957452	0
MONDO:0957451	0
MONDO:0957443	0
MONDO:0957442	0
MONDO:0957433	0
MONDO:0957432	0
MONDO:0957431	0
MONDO:0957430	0
MONDO:0957428	0
MONDO:0957427	0
MONDO:0957423	0
MONDO:0957421	0
MONDO:0957408	36
MONDO:0957405	0
MONDO:0957403	0
MONDO:0957400	2
MONDO:0957397	0
MONDO:0957396	0
MONDO:0957388	0
MONDO:0957386	0
MONDO:0957385	0
MONDO:0957382	0
MONDO:0957341	0
MONDO:0957337	0
MONDO:0957318	2
MONDO:0957317	2
MONDO:0957314	0
MONDO:0957309	0
MONDO:0957308	0
MONDO:0957307	0
MONDO:0957303	0
MONDO:0957301	0
MONDO:0957294	0
MONDO:0957288	0
MONDO:0957284	0
MONDO:0957281	0
MONDO:0957279	0
MONDO:0957278	0
MONDO:0957274	0
MONDO:0957273	0
MONDO:0957271	0
MONDO:0957270	0
MONDO:0957268	0
MONDO:0957267	0
MONDO:0957266	0
MONDO:0957265	0
MONDO:0957264	0
MONDO:0957263	0
MONDO:0957262	0
MONDO:0957261	0
MONDO:0957260	0
MONDO:0957255	0
MONDO:0957254	0
MONDO:0957253	0
MONDO:0957252	0
MONDO:0957250	0
MONDO:0957249	0
MONDO:0957248	0
MONDO:0957247	0
MONDO:0957240	0
MONDO:0957231	0
MONDO:0957230	0
MONDO:0957229	0
MONDO:0957228	0
MONDO:0957225	0
MONDO:0957224	0
MONDO:0957221	0
MONDO:0957220	0
MONDO:0957218	0
MONDO:0957217	0
MONDO:0957216	0
MONDO:0957215	0
MONDO:0957211	0
MONDO:0957210	0
MONDO:0957208	0
MONDO:0957204	0
MONDO:0957203	0
MONDO:0957202	0
MONDO:0957197	0
MONDO:0957196	0
MONDO:0957115	0
MONDO:0957114	0
MONDO:0957113	0
MONDO:0957112	0
MONDO:0957111	0
MONDO:0957097	11
MONDO:0957048	0
MONDO:0957018	37
MONDO:0957008	0
MONDO:0957003	0
MONDO:0956997	0
MONDO:0956996	0
MONDO:0956995	0
MONDO:0956994	0
MONDO:0956993	0
MONDO:0956992	0
MONDO:0956991	0
MONDO:0956990	0
MONDO:0956989	0
MONDO:0956988	0
MONDO:0956987	0
MONDO:0956986	0
MONDO:0956985	0
MONDO:0956984	0
MONDO:0956983	0
MONDO:0956981	0
MONDO:0956980	0
MONDO:0956979	0
MONDO:0956977	0
MONDO:0956976	0
MONDO:0956975	0
MONDO:0956971	0
MONDO:0956969	0
MONDO:0956967	0
MONDO:0956966	0
MONDO:0956965	0
MONDO:0956964	0
MONDO:0956962	0
MONDO:0859765	0
MONDO:0859764	0
MONDO:0859763	0
MONDO:0859762	0
MONDO:0859761	0
MONDO:0859749	0
MONDO:0859748	0
MONDO:0859747	0
MONDO:0859692	0
MONDO:0859690	0
MONDO:0859689	7
MONDO:0859615	0
MONDO:0859614	0
MONDO:0859598	0
MONDO:0859597	0
MONDO:0859592	2
MONDO:0859591	0
MONDO:0859588	0
MONDO:0859578	0
MONDO:0859577	0
MONDO:0859576	0
MONDO:0859575	0
MONDO:0859574	0
MONDO:0859573	0
MONDO:0859572	0
MONDO:0859571	0
MONDO:0859570	0
MONDO:0859569	0
MONDO:0859568	0
MONDO:0859567	0
MONDO:0859565	0
MONDO:0859564	0
MONDO:0859532	0
MONDO:0859531	0
MONDO:0859530	0
MONDO:0859529	0
MONDO:0859528	0
MONDO:0859527	0
MONDO:0859526	0
MONDO:0859525	0
MONDO:0859524	0
MONDO:0859523	0
MONDO:0859522	0
MONDO:0859521	0
MONDO:0859520	0
MONDO:0859519	0
MONDO:0859518	0
MONDO:0859517	0
MONDO:0859516	0
MONDO:0859515	0
MONDO:0859514	0
MONDO:0859478	0
MONDO:0859477	0
MONDO:0859393	2
MONDO:0859390	2
MONDO:0859383	2
MONDO:0859382	0
MONDO:0859381	0
MONDO:0859380	0
MONDO:0859379	0
MONDO:0859378	0
MONDO:0859377	0
MONDO:0859375	0
MONDO:0859374	0
MONDO:0859373	0
MONDO:0859372	0
MONDO:0859370	0
MONDO:0859369	0
MONDO:0859368	0
MONDO:0859367	0
MONDO:0859366	0
MONDO:0859365	0
MONDO:0859364	0
MONDO:0859363	0
MONDO:0859362	0
MONDO:0859361	0
MONDO:0859360	0
MONDO:0859358	0
MONDO:0859357	0
